Smiles,inchi,Rub ID,Diseases,Species
string,string,string,string,string
meta,meta,meta,meta,meta
OCC1=C[C@@H]([C@H]2[C@@H]1[C@@H](OC=C2C(=O)OC)O[C@@H]1O[C@H](CO)[C@H]([C@@H]([C@H]1O)O)O)O,"InChI=1S/C17H24O11/c1-25-15(24)7-5-26-16(10-6(3-18)2-8(20)11(7)10)28-17-14(23)13(22)12(21)9(4-19)27-17/h2,5,8-14,16-23H,3-4H2,1H3/t8-,9+,10+,11-,12+,13-,14+,16-,17-/m0/s1",Rub1,Microbial infection,Canthium multiflorum
COC(=O)C1=COC([C@H]2[C@@H]1C(=O)C=C2CO)O,"InChI=1S/C11H12O6/c1-16-10(14)6-4-17-11(15)8-5(3-12)2-7(13)9(6)8/h2,4,8-9,11-12,15H,3H2,1H3/t8-,9+,11?/m1/s1",Rub2,Microbial infection,Canthium multiflorum
OCC1=CC([C@@H]2[C@H]1C(OC=C2C(=O)OC)OC1OC(CO)C(C(C1O)O)O)O,"InChI=1S/C17H24O11/c1-25-15(24)7-5-26-16(10-6(3-18)2-8(20)11(7)10)28-17-14(23)13(22)12(21)9(4-19)27-17/h2,5,8-14,16-23H,3-4H2,1H3/t8?,9?,10-,11+,12?,13?,14?,16?,17?/m0/s1",Rub3,Microbial infection,Canthium multiflorum
OCC1=C[C@@H]([C@H]2[C@@H]1C(OC=C2C(=O)OC)OC1OC(CO)C(C(C1O)O)O)O,"InChI=1S/C17H24O11/c1-25-15(24)7-5-26-16(10-6(3-18)2-8(20)11(7)10)28-17-14(23)13(22)12(21)9(4-19)27-17/h2,5,8-14,16-23H,3-4H2,1H3/t8-,9?,10+,11-,12?,13?,14?,16?,17?/m0/s1",Rub4,Microbial infection,Canthium multiflorum
OC[C@H]([C@H]([C@H]([C@H](CO)O)O)O)O,"InChI=1S/C6H14O6/c7-1-3(9)5(11)6(12)4(10)2-8/h3-12H,1-2H2/t3-,4+,5-,6+",Rub5,Microbial infection,Canthium multiflorum
OCC1=C[C@@H]([C@H]2[C@@H]1C(OC=C2C(=O)O)OC1OC(CO)C(C(C1O)O)O)O,"InChI=1S/C16H22O11/c17-2-5-1-7(19)10-6(14(23)24)4-25-15(9(5)10)27-16-13(22)12(21)11(20)8(3-18)26-16/h1,4,7-13,15-22H,2-3H2,(H,23,24)/t7-,8?,9+,10-,11?,12?,13?,15?,16?/m0/s1",Rub6,Microbial infection,Canthium multiflorum
OC[C@H]1O[C@@H](O[C@@H]2OC=C([C@@H]3[C@H]2[C@@](O)(CO)C=C3)C(=O)OC)[C@@H]([C@H]([C@@H]1O)O)O,"InChI=1S/C17H24O11/c1-25-14(23)8-5-26-15(10-7(8)2-3-17(10,24)6-19)28-16-13(22)12(21)11(20)9(4-18)27-16/h2-3,5,7,9-13,15-16,18-22,24H,4,6H2,1H3/t7-,9-,10-,11-,12+,13-,15+,16+,17+/m1/s1",Rub7,Microbial infection,Canthium multiflorum
COC(=O)C1=CNC(=O)[C@H]2[C@@H]1CC=C2CO,"InChI=1S/C11H13NO4/c1-16-11(15)8-4-12-10(14)9-6(5-13)2-3-7(8)9/h2,4,7,9,13H,3,5H2,1H3,(H,12,14)/t7-,9-/m1/s1",Rub8,Microbial infection,Canthium multiflorum
COC(=O)C1=CNC2C3C1C=CC3(O)CO2,"InChI=1S/C11H13NO4/c1-15-10(13)7-4-12-9-8-6(7)2-3-11(8,14)5-16-9/h2-4,6,8-9,12,14H,5H2,1H3",Rub9,Microbial infection,Canthium multiflorum
COC(=O)C1=CO[C@H]2[C@H]3[C@@H]1C=C[C@@]3(O)CO2,"InChI=1S/C11H12O5/c1-14-9(12)7-4-15-10-8-6(7)2-3-11(8,13)5-16-10/h2-4,6,8,10,13H,5H2,1H3/t6-,8-,10-,11-/m1/s1",Rub10,Microbial infection,Canthium multiflorum
OC[C@@H]1O[C@H](OC2O[C@H]3OC[C@]4(C2C([C@@H]3C(=O)OC)C=C4)O)[C@H]([C@@H]([C@H]1O)O)O,"InChI=1S/C17H24O11/c1-24-13(22)8-6-2-3-17(23)5-25-14(8)27-15(9(6)17)28-16-12(21)11(20)10(19)7(4-18)26-16/h2-3,6-12,14-16,18-21,23H,4-5H2,1H3/t6?,7-,8+,9?,10-,11+,12-,14+,15?,16+,17+/m0/s1",Rub11,Microbial infection,Canthium multiflorum
C[C@@H]1CC[C@]2([C@@H]([C@H]1C)C1=CC[C@H]3[C@@]([C@@]1(CC2)C(=O)O)(C)CC[C@@H]1[C@]3(C)CC[C@@H](C1(C)C)O)C(=O)O,"InChI=1S/C30H46O5/c1-17-9-14-29(24(32)33)15-16-30(25(34)35)19(23(29)18(17)2)7-8-21-27(5)12-11-22(31)26(3,4)20(27)10-13-28(21,30)6/h7,17-18,20-23,31H,8-16H2,1-6H3,(H,32,33)(H,34,35)/t17-,18+,20+,21-,22+,23+,27+,28-,29+,30-/m1/s1",Rub12,Microbial infection,Canthium multiflorum
COc1cc(ccc1OC1OC(COC(=O)c2ccccc2)C(C(C1O)O)O)C(=O)O,"InChI=1S/C21H22O10/c1-28-14-9-12(19(25)26)7-8-13(14)30-21-18(24)17(23)16(22)15(31-21)10-29-20(27)11-5-3-2-4-6-11/h2-9,15-18,21-24H,10H2,1H3,(H,25,26)",Rub13,Microbial infection,Canthium multiflorum
C[C@]12CC[C@@H](C([C@@H]1CC[C@@]3([C@@H]2CC=C4[C@]3(CC[C@@]5([C@H]4CC(CC5)(C)C)C(=O)O)C)C)(C)C)O,"InChI=1S/C30H48O3/c1-25(2)14-16-30(24(32)33)17-15-28(6)19(20(30)18-25)8-9-22-27(5)12-11-23(31)26(3,4)21(27)10-13-29(22,28)7/h8,20-23,31H,9-18H2,1-7H3,(H,32,33)/t20-,21-,22+,23-,27-,28+,29+,30-/m0/s1",Rub14,Microbial infection,Canthium multiflorum
[H][C@@]12[C@@](CC[C@@H](C)[C@@]2(C)O)(C(O)=O)CC([H])[C@@]3(C)[C@]4(C)CC[C@@]5([H])C(C)(C)C(C=C[C@]5(C)[C@@]4([H])CC=C31)=O,"InChI=1S/C30H44O4/c1-18-10-15-30(24(32)33)17-16-27(5)19(23(30)29(18,7)34)8-9-21-26(4)13-12-22(31)25(2,3)20(26)11-14-28(21,27)6/h8,12-13,18,20-21,23,34H,9-11,14-17H2,1-7H3,(H,32,33)/t18-,20+,21-,23-,26+,27-,28-,29-,30?/m1/s1",Rub15,Malaria,Canthium multiflorum
