Diseases;kingdom;Family;Genus;Species;Parts;Molecule Name;class_name;subclass_name;PubChem ID;Molecule ChEMBL ID;Molecule Max Phase;Molecular Weight;#RO5 Violations;AlogP;Compound Key;Smiles;inchi;Standard Type;Standard Relation;Standard Value;Standard Units;pChEMBL Value;Data Validity Comment;Comment;Uo Units;Ligand Efficiency BEI;Ligand Efficiency LE;Ligand Efficiency LLE;Ligand Efficiency SEI;Potential Duplicate;Assay ChEMBL ID;Assay Description;Assay Type;BAO Format ID;BAO Label;Assay Organism;Assay Tissue ChEMBL ID;Assay Tissue Name;Assay Cell Type;Assay Subcellular Fraction;Assay Parameters;Assay Variant Accession;Assay Variant Mutation;Target ChEMBL ID;Target Name;Target Organism;Target Type;Document ChEMBL ID;Source ID;Source Description;Document Journal;Document Year;Cell ChEMBL ID;Properties;Action Type;Standard Text Value;Value;pmid;link
Microbial infection;Plantae;Rubiaceae;Canthium;Canthium multiflorum;areal part;6-alpha-hydroxygeniposide;phenolic;phenol glycoside;6325021;CHEMBL463096;;;;;;OCC1=C[C@@H]([C@H]2[C@@H]1[C@@H](OC=C2C(=O)OC)O[C@@H]1O[C@H](CO)[C@H]([C@@H]([C@H]1O)O)O)O;InChI=1S/C17H24O11/c1-25-15(24)7-5-26-16(10-6(3-18)2-8(20)11(7)10)28-17-14(23)13(22)12(21)9(4-19)27-17/h2,5,8-14,16-23H,3-4H2,1H3/t8-,9+,10+,11-,12+,13-,14+,16-,17-/m0/s1;;;;;;;;;;;;;;;;;;;;;;;;;;;;Gram-positive bacterium Staphylococcus aureus subsp. aureus (DSM 799), and the Gram-negative bacteria Actinobacter calco-aceticus (DSM 30006), Serratia plymuthica (DSM 4540), Pseudomonas stutzeri (DSM 4166) and Escherichia coli (DSM 1116) ;microbial;in vitro;;;research article;Fitoterapia;2013;;;;;;24028969;https://doi.org/10.1016/j.fitote.2013.08.025
Microbial infection;Plantae;Rubiaceae;Canthium;Canthium multiflorum;areal part;6-oxo-genipin;terpenoid;monoterpene;;;;;;;;COC(=O)C1=COC([C@H]2[C@@H]1C(=O)C=C2CO)O;InChI=1S/C11H12O6/c1-16-10(14)6-4-17-11(15)8-5(3-12)2-7(13)9(6)8/h2,4,8-9,11-12,15H,3H2,1H3/t8-,9+,11?/m1/s1;;;;;;;;;;;;;;;;;;;;;;;;;;;;Gram-positive bacterium Staphylococcus aureus subsp. aureus (DSM 799), and the Gram-negative bacteria Actinobacter calco-aceticus (DSM 30006), Serratia plymuthica (DSM 4540), Pseudomonas stutzeri (DSM 4166) and Escherichia coli (DSM 1116) ;microbial;in vitro;;;research article;Fitoterapia;2013;;;;;;24028969;https://doi.org/10.1016/j.fitote.2013.08.025
Microbial infection;Plantae;Rubiaceae;Canthium;Canthium multiflorum;areal part;6alpha-hydroxygeniposide;terpenoid;monoterpene glycoside;129316890;;;;;;;OCC1=CC([C@@H]2[C@H]1C(OC=C2C(=O)OC)OC1OC(CO)C(C(C1O)O)O)O;InChI=1S/C17H24O11/c1-25-15(24)7-5-26-16(10-6(3-18)2-8(20)11(7)10)28-17-14(23)13(22)12(21)9(4-19)27-17/h2,5,8-14,16-23H,3-4H2,1H3/t8?,9?,10-,11+,12?,13?,14?,16?,17?/m0/s1;;;;;;;;;;;;;;;;;;;;;;;;;;;;Gram-positive bacterium Staphylococcus aureus subsp. aureus (DSM 799), and the Gram-negative bacteria Actinobacter calco-aceticus (DSM 30006), Serratia plymuthica (DSM 4540), Pseudomonas stutzeri (DSM 4166) and Escherichia coli (DSM 1116) ;microbial;in vitro;;;research article;Fitoterapia;2013;;;;;;24028969;https://doi.org/10.1016/j.fitote.2013.08.025
Microbial infection;Plantae;Rubiaceae;Canthium;Canthium multiflorum;areal part;aitchisonide B;terpenoid;monoterpene glycoside;;;;;;;;OCC1=C[C@@H]([C@H]2[C@@H]1C(OC=C2C(=O)OC)OC1OC(CO)C(C(C1O)O)O)O;InChI=1S/C17H24O11/c1-25-15(24)7-5-26-16(10-6(3-18)2-8(20)11(7)10)28-17-14(23)13(22)12(21)9(4-19)27-17/h2,5,8-14,16-23H,3-4H2,1H3/t8-,9?,10+,11-,12?,13?,14?,16?,17?/m0/s1;;;;;;;;;;;;;;;;;;;;;;;;;;;;Gram-positive bacterium Staphylococcus aureus subsp. aureus (DSM 799), and the Gram-negative bacteria Actinobacter calco-aceticus (DSM 30006), Serratia plymuthica (DSM 4540), Pseudomonas stutzeri (DSM 4166) and Escherichia coli (DSM 1116) ;microbial;in vitro;;;research article;Fitoterapia;2013;;;;;;24028969;https://doi.org/10.1016/j.fitote.2013.08.025
Microbial infection;Plantae;Rubiaceae;Canthium;Canthium multiflorum;areal part;allitol;polyol;;120700;;;;;;;OC[C@H]([C@H]([C@H]([C@H](CO)O)O)O)O;InChI=1S/C6H14O6/c7-1-3(9)5(11)6(12)4(10)2-8/h3-12H,1-2H2/t3-,4+,5-,6+;;;;;;;;;;;;;;;;;;;;;;;;;;;;Gram-positive bacterium Staphylococcus aureus subsp. aureus (DSM 799), and the Gram-negative bacteria Actinobacter calco-aceticus (DSM 30006), Serratia plymuthica (DSM 4540), Pseudomonas stutzeri (DSM 4166) and Escherichia coli (DSM 1116) ;microbial;in vitro;;;research article;Fitoterapia;2013;;;;;;24028969;https://doi.org/10.1016/j.fitote.2013.08.025
Microbial infection;Plantae;Rubiaceae;Canthium;Canthium multiflorum;areal part;deacethyl asperulosidic acid;terpenoid;monoterpene glycoside;;;;;;;;OCC1=C[C@@H]([C@H]2[C@@H]1C(OC=C2C(=O)O)OC1OC(CO)C(C(C1O)O)O)O;InChI=1S/C16H22O11/c17-2-5-1-7(19)10-6(14(23)24)4-25-15(9(5)10)27-16-13(22)12(21)11(20)8(3-18)26-16/h1,4,7-13,15-22H,2-3H2,(H,23,24)/t7-,8?,9+,10-,11?,12?,13?,15?,16?/m0/s1;;;;;;;;;;;;;;;;;;;;;;;;;;;;Gram-positive bacterium Staphylococcus aureus subsp. aureus (DSM 799), and the Gram-negative bacteria Actinobacter calco-aceticus (DSM 30006), Serratia plymuthica (DSM 4540), Pseudomonas stutzeri (DSM 4166) and Escherichia coli (DSM 1116) ;microbial;in vitro;;;research article;Fitoterapia;2013;;;;;;24028969;https://doi.org/10.1016/j.fitote.2013.08.025
Microbial infection;Plantae;Rubiaceae;Canthium;Canthium multiflorum;areal part;galioside;terpenoid;monoterpene;185774;CHEMBL485798;;;;;;OC[C@H]1O[C@@H](O[C@@H]2OC=C([C@@H]3[C@H]2[C@@](O)(CO)C=C3)C(=O)OC)[C@@H]([C@H]([C@@H]1O)O)O;InChI=1S/C17H24O11/c1-25-14(23)8-5-26-15(10-7(8)2-3-17(10,24)6-19)28-16-13(22)12(21)11(20)9(4-18)27-16/h2-3,5,7,9-13,15-16,18-22,24H,4,6H2,1H3/t7-,9-,10-,11-,12+,13-,15+,16+,17+/m1/s1;;;;;;;;;;;;;;;;;;;;;;;;;;;;Gram-positive bacterium Staphylococcus aureus subsp. aureus (DSM 799), and the Gram-negative bacteria Actinobacter calco-aceticus (DSM 30006), Serratia plymuthica (DSM 4540), Pseudomonas stutzeri (DSM 4166) and Escherichia coli (DSM 1116) ;microbial;in vitro;;;research article;Fitoterapia;2013;;;;;;24028969;https://doi.org/10.1016/j.fitote.2013.08.025
Microbial infection;Plantae;Rubiaceae;Canthium;Canthium multiflorum;areal part;gardenamide;terpenoid;terpene alkaloid;10775442;CHEMBL4441126;;;;;;COC(=O)C1=CNC(=O)[C@H]2[C@@H]1CC=C2CO;InChI=1S/C11H13NO4/c1-16-11(15)8-4-12-10(14)9-6(5-13)2-3-7(8)9/h2,4,7,9,13H,3,5H2,1H3,(H,12,14)/t7-,9-/m1/s1;;;;;;;;;;;;;;;;;;;;;;;;;;;;Gram-positive bacterium Staphylococcus aureus subsp. aureus (DSM 799), and the Gram-negative bacteria Actinobacter calco-aceticus (DSM 30006), Serratia plymuthica (DSM 4540), Pseudomonas stutzeri (DSM 4166) and Escherichia coli (DSM 1116) ;microbial;in vitro;;;research article;Fitoterapia;2013;;;;;;24028969;https://doi.org/10.1016/j.fitote.2013.08.025
Microbial infection;Plantae;Rubiaceae;Canthium;Canthium multiflorum;areal part;gardenine;terpenoid;monoterpene;197414;;;;;;;COC(=O)C1=CNC2C3C1C=CC3(O)CO2;InChI=1S/C11H13NO4/c1-15-10(13)7-4-12-9-8-6(7)2-3-11(8,14)5-16-9/h2-4,6,8-9,12,14H,5H2,1H3;;;;;;;;;;;;;;;;;;;;;;;;;;;;Gram-positive bacterium Staphylococcus aureus subsp. aureus (DSM 799), and the Gram-negative bacteria Actinobacter calco-aceticus (DSM 30006), Serratia plymuthica (DSM 4540), Pseudomonas stutzeri (DSM 4166) and Escherichia coli (DSM 1116) ;microbial;in vitro;;;research article;Fitoterapia;2013;;;;;;24028969;https://doi.org/10.1016/j.fitote.2013.08.025
Microbial infection;Plantae;Rubiaceae;Canthium;Canthium multiflorum;areal part;garjasmine;terpenoid;monoterpene;11138761;;;;;;;COC(=O)C1=CO[C@H]2[C@H]3[C@@H]1C=C[C@@]3(O)CO2;InChI=1S/C11H12O5/c1-14-9(12)7-4-15-10-8-6(7)2-3-11(8,13)5-16-10/h2-4,6,8,10,13H,5H2,1H3/t6-,8-,10-,11-/m1/s1;;;;;;;;;;;;;;;;;;;;;;;;;;;;Gram-positive bacterium Staphylococcus aureus subsp. aureus (DSM 799), and the Gram-negative bacteria Actinobacter calco-aceticus (DSM 30006), Serratia plymuthica (DSM 4540), Pseudomonas stutzeri (DSM 4166) and Escherichia coli (DSM 1116) ;microbial;in vitro;;;research article;Fitoterapia;2013;;;;;;24028969;https://doi.org/10.1016/j.fitote.2013.08.025
